datetime,competition,match,FT result,h2hmatches,h2hgoals,h2h goals/match,total goals,to bet,btts,goalsFest,,,,
02-11-2018 12:00,England >  Premier League 2 2018/2019,Tottenham Hotspur U23 - Swansea City U23,1:4 (1:0),4,16,"4,00","5,00",TRUE,TRUE,TRUE,,,10,"8,7"
02-11-2018 19:00,England >  Premier League 2 Div. 2 2018/2019,Manchester United U23 - Newcastle United U23,1:4 (1:1),9,34,"3,78","5,00",TRUE,TRUE,TRUE,,,10,"8,7"
02-11-2018 19:00,Netherlands >  Eerste Divisie 2018/2019,SC Cambuur - Jong Ajax,2:1 (1:0),15,53,"3,53","3,00",TRUE,TRUE,TRUE,,,10,"8,7"
03-11-2018 13:00,England >  Premier League 2 2018/2019,Arsenal FC U23 - Chelsea FC U23,4:5 (3:3),19,82,"4,32","9,00",TRUE,TRUE,TRUE,,,10,"8,7"
03-11-2018 17:30,Germany >  Bundesliga 2018/2019,Hertha BSC - RB Leipzig,0:3 (0:1),14,63,"4,50","3,00",TRUE,FALSE,FALSE,,,10,-10
03-11-2018 19:00,Bolivia >  Liga Profesional 2018 Clausura,The Strongest - Real Potosí,5:1 (2:0),51,180,"3,53","6,00",TRUE,TRUE,TRUE,,,20,"17,4"
03-11-2018 19:45,Netherlands >  Eredivisie 2018/2019,AFC Ajax - Willem II,2:0 (2:0),98,380,"3,88","2,00",TRUE,FALSE,FALSE,,,10,-10
03-11-2018 21:15,Bolivia >  Liga Profesional 2018 Clausura,Sport Boys Warnes - Bolívar,4:1 (0:0),24,89,"3,71","5,00",TRUE,TRUE,TRUE,,,20,"17,4"
04-11-2018 13:00,England >  Premier League 2 Div. 2 2018/2019,Middlesbrough FC U23 - Norwich City U23,2:1 (1:0),18,71,"3,94","3,00",TRUE,TRUE,TRUE,,,10,"8,7"
04-11-2018 13:00,England >  Premier League 2 Div. 2 2018/2019,Aston Villa U23 - Reading FC U23,4:5 (3:3),14,65,"4,64","9,00",TRUE,TRUE,TRUE,,,10,"8,7"
04-11-2018 13:30,Netherlands >  Eerste Divisie 2018/2019,NEC Nijmegen - AZ Alkmaar (J),3:1 (0:1),7,29,"4,14","4,00",TRUE,TRUE,TRUE,,,10,"8,7"
06-11-2018 13:00,UEFA >  Youth Youth League 2018/2019 > Group A,AS Monaco - Club Brugge KV,3:1 (3:0),2,9,"4,50","4,00",TRUE,TRUE,TRUE,,,10,"8,7"
06-11-2018 17:55,UEFA >   Champions League 2018/2019 > Group A,AS Monaco - Club Brugge KV,0:4 (0:3),4,14,"3,50","4,00",TRUE,FALSE,FALSE,,,10,-10
07-11-2018 13:00,UEFA >  Youth Youth League 2018/2019 > Group F,Olympique Lyonnais - 1899 Hoffenheim,3:3 (1:1),2,10,"5,00","6,00",TRUE,TRUE,TRUE,,,20,"17,4"
07-11-2018 15:00,UEFA >  Youth Youth League 2018/2019 > Group E,SL Benfica - AFC Ajax,3:3 (1:1),3,12,"4,00","6,00",TRUE,TRUE,TRUE,,,10,"8,7"
07-11-2018 15:00,UEFA >  Youth Youth League 2018/2019 > Group F,Manchester City - Shakhtar Donetsk,4:1 (0:1),6,23,"3,83","5,00",TRUE,TRUE,TRUE,,,10,"8,7"
07-11-2018 20:00,UEFA >   Champions League 2018/2019 > Group F,Olympique Lyonnais - 1899 Hoffenheim,2:2 (2:0),3,14,"4,67","4,00",TRUE,TRUE,TRUE,,,10,"8,7"
08-11-2018 20:00,UEFA >   Europa League 2018/2019 > Group A,Bayer Leverkusen - FC Zürich,1:0 (0:0),4,16,"4,00","1,00",TRUE,FALSE,FALSE,,,10,-10
09-11-2018 19:00,Netherlands >  Eerste Divisie 2018/2019,Go Ahead Eagles - FC Dordrecht,2:1 (0:1),55,197,"3,58","3,00",TRUE,TRUE,TRUE,,,20,"17,4"
11-11-2018 13:30,Netherlands >  Eredivisie 2018/2019,SBV Excelsior - AFC Ajax,1:7 (0:2),49,185,"3,78","8,00",TRUE,TRUE,TRUE,,,10,"8,7"
11-11-2018 15:00,Turkey >  SüperLig 2018/2019,Fenerbahçe - Alanyaspor,2:0 (2:0),20,75,"3,75","2,00",TRUE,FALSE,FALSE,,,10,-10
11-11-2018 15:45,Netherlands >  Eredivisie 2018/2019,Heracles Almelo - Feyenoord,0:2 (0:0),51,195,"3,82","2,00",TRUE,FALSE,FALSE,,,20,-20
11-11-2018 19:45,Spain >  Primera División 2018/2019,RC Celta - Real Madrid,2:4 (0:1),126,448,"3,56","6,00",TRUE,TRUE,TRUE,,,30,"26,1"
16-11-2018 00:00,Bolivia >  Liga Profesional 2018 Clausura,Bolívar - CD Guabirá,3:0 (2:0),39,141,"3,62","3,00",TRUE,FALSE,FALSE,,,20,-20
